City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,glendive,47.1053,-104.7125,25.79,19,0,4.12,US,1729116575
1,kismayo,-0.3582,42.5454,25.15,84,55,7.25,SO,1729116576
2,codrington,-38.2667,141.9667,18.26,88,100,4.0,AU,1729116577
3,tangalle,6.024,80.7911,24.74,92,61,3.97,LK,1729116580
4,dudinka,69.4058,86.1778,-13.1,93,100,6.22,RU,1729116581
5,adamstown,-25.066,-130.1015,21.24,85,100,7.92,PN,1729116582
6,altar,30.7,-111.8167,33.93,14,17,9.23,MX,1729116583
7,grytviken,-54.2811,-36.5092,1.71,88,62,5.81,GS,1729116585
8,alta,69.9689,23.2717,2.59,81,100,1.03,NO,1729116586
9,port-aux-francais,-49.35,70.2167,2.21,74,100,12.72,TF,1729116587
10,alofi,-19.0595,-169.9187,27.94,57,40,5.66,NU,1729116588
11,chibougamau,49.9168,-74.3659,3.35,70,98,3.57,CA,1729116431
12,saipan,15.1355,145.701,28.39,83,40,2.57,MP,1729116551
13,harper,4.375,-7.7169,24.91,89,64,3.91,LR,1729116592
14,castillos,-34.1667,-53.8333,13.22,89,0,3.31,UY,1729116593
15,kidal,18.4411,1.4078,31.97,11,1,3.64,ML,1729116595
16,stanley,54.868,-1.6985,13.43,97,75,0.0,GB,1729116596
17,isafjordur,66.0755,-23.124,-1.17,88,100,5.47,IS,1729116597
18,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,81,40,0.0,RU,1729116598
19,gradistea,44.2333,27.2167,11.17,58,100,2.63,RO,1729116600
20,vilyuchinsk,52.9306,158.4028,8.15,81,79,3.79,RU,1729116601
21,nalut,30.3333,10.85,25.45,29,10,5.01,LY,1729116602
22,port elizabeth,-33.918,25.5701,17.4,94,49,3.07,ZA,1729116603
23,alice springs,-23.7,133.8833,28.75,45,42,3.6,AU,1729116604
24,west island,-12.1568,96.8225,25.99,89,100,6.69,CC,1729116606
25,totness,5.8833,-56.3167,27.36,78,57,4.57,SR,1729116607
26,cobija,-11.0267,-68.7692,32.07,42,66,0.57,BO,1729116608
27,norilsk,69.3535,88.2027,-17.3,98,100,3.6,RU,1729116609
28,bethel,41.3712,-73.414,11.98,59,22,0.89,US,1729116584
29,talnakh,69.4865,88.3972,-17.36,95,100,4.48,RU,1729116304
30,porto novo,6.4965,2.6036,24.14,93,100,1.22,BJ,1729116613
31,longyearbyen,78.2186,15.6401,-0.09,80,75,2.06,SJ,1729116614
32,tuban,-6.8976,112.0649,25.42,67,99,5.16,ID,1729116616
33,city of balikpapan,-1.242,116.8942,25.97,100,100,2.06,ID,1729116617
34,albany,42.6001,-73.9662,9.23,63,15,1.34,US,1729116618
35,puerto deseado,-47.7503,-65.8938,11.33,64,97,5.17,AR,1729116619
36,cuamba,-14.8031,36.5372,19.35,83,99,2.87,MZ,1729116621
37,zhalantun,48.0,122.7167,-1.12,67,0,1.74,CN,1729116622
38,bilibino,68.0546,166.4372,-5.86,95,100,1.47,RU,1729116623
39,newnham,-41.3833,147.1333,12.53,82,20,3.09,AU,1729116627
40,puerto natales,-51.7236,-72.4875,11.25,66,75,1.54,CL,1729116628
41,margaret river,-33.95,115.0667,12.69,83,90,4.83,AU,1729116629
42,minas de marcona,-15.2119,-75.1103,16.21,64,22,7.26,PE,1729116632
43,atafu village,-8.5421,-172.5159,27.24,81,7,6.98,TK,1729116633
44,mar del plata,-38.0023,-57.5575,13.07,97,100,5.36,AR,1729116361
45,edinburgh of the seven seas,-37.0676,-12.3116,12.81,67,45,3.36,SH,1729116637
46,eynesil,41.0645,39.1438,17.36,85,100,5.54,TR,1729116638
47,hermanus,-34.4187,19.2345,14.89,76,52,3.42,ZA,1729116639
48,olonkinbyen,70.9221,-8.7187,1.74,99,100,5.76,SJ,1729116641
49,kandahar,31.0,65.75,16.84,27,0,2.07,AF,1729116642
50,avarua,-21.2078,-159.775,25.03,61,75,5.66,CK,1729116643
51,upanema,-5.6419,-37.2578,25.78,74,73,9.28,BR,1729116644
52,college,64.8569,-147.8028,-1.01,69,75,6.69,US,1729116646
53,kavaratti,10.5669,72.642,26.52,84,100,5.15,IN,1729116647
54,jiangyou,31.7667,104.7167,17.44,81,100,0.62,CN,1729116648
55,east london,-33.0153,27.9116,18.04,77,0,10.23,ZA,1729116649
56,punta arenas,-53.15,-70.9167,12.06,66,75,2.57,CL,1729116640
57,hamilton,39.1834,-84.5333,12.65,59,75,5.14,US,1729116653
58,lompoc,34.6391,-120.4579,21.4,79,0,6.69,US,1729116362
59,puerto ayora,-0.7393,-90.3518,21.42,93,85,2.24,EC,1729116655
60,iskateley,67.6803,53.1512,1.51,90,78,5.37,RU,1729116657
61,hasaki,35.7333,140.8333,23.13,80,98,6.68,JP,1729116658
62,papatowai,-46.5619,169.4708,13.15,50,0,1.97,NZ,1729116659
63,bubaque,11.2833,-15.8333,27.94,75,19,3.01,GW,1729116660
64,iqaluit,63.7506,-68.5145,0.85,86,100,5.66,CA,1729116327
65,khandyga,62.6667,135.6,-15.02,96,54,1.17,RU,1729116663
66,cherlak,54.155,74.8055,1.39,90,0,1.89,RU,1729116664
67,tura,25.5198,90.2201,22.78,71,55,1.16,IN,1729116665
68,howrah,22.5892,88.3103,26.0,94,40,0.0,IN,1729116666
69,lethem,3.3803,-59.7968,25.67,79,99,2.2,GY,1729116668
70,malpica,43.3228,-8.8105,15.13,100,100,2.02,ES,1729116669
71,gisborne,-38.6533,178.0042,11.93,64,1,2.85,NZ,1729116670
72,makungu,-8.7333,35.2833,17.79,90,68,2.63,TZ,1729116671
73,nemuro,43.3236,145.575,11.1,70,0,2.23,JP,1729116673
74,port mathurin,-19.6833,63.4167,22.97,79,100,5.39,MU,1729116232
75,whitehorse,60.7161,-135.0538,4.5,64,75,1.54,CA,1729116247
76,neiafu,-18.65,-173.9833,27.38,78,75,5.14,TO,1729116676
77,banda aceh,5.5577,95.3222,26.89,83,98,5.62,ID,1729116678
78,nikolayevsk-on-amure,53.1406,140.73,0.2,68,71,1.19,RU,1729116679
79,grants pass,42.439,-123.3284,18.03,67,100,2.06,US,1729116680
80,nagano,36.6514,138.1811,19.1,100,74,0.15,JP,1729116681
81,akureyri,65.6835,-18.0878,3.39,92,100,2.11,IS,1729116683
82,blackmans bay,-43.0167,147.3167,12.63,95,100,0.93,AU,1729116302
83,lihue,21.9789,-159.3672,28.77,61,40,6.69,US,1729116685
84,emerald,-23.5333,148.1667,21.3,78,3,4.06,AU,1729116687
85,keflavik,64.0049,-22.5624,5.24,93,100,1.03,IS,1729116688
86,tvoroyri,61.5556,-6.8111,10.45,99,100,6.08,FO,1729116689
87,chapaev,50.2,51.1667,6.13,77,100,2.47,KZ,1729116690
88,guatrache,-37.6678,-63.5302,21.65,72,66,7.62,AR,1729116692
89,marka,1.7159,44.7717,25.0,86,71,5.64,SO,1729116693
90,dalbandin,28.8947,64.4101,23.26,14,0,1.98,PK,1729116694
91,jamestown,42.097,-79.2353,8.34,66,100,4.12,US,1729116266
92,grajau,-5.8194,-46.1386,28.06,62,100,0.54,BR,1729116696
93,waitangi,-43.9535,-176.5597,10.46,84,94,1.79,NZ,1729116260
94,guliston,40.4897,68.7842,5.89,54,0,0.86,UZ,1729116699
95,sao gabriel da cachoeira,-0.1303,-67.0892,28.59,68,89,1.63,BR,1729116700
96,igboho,8.8333,3.75,22.07,96,100,2.24,NG,1729116701
97,yarmouth,41.7057,-70.2286,12.2,65,0,6.26,US,1729116703
98,invercargill,-46.4,168.35,13.34,67,3,0.89,NZ,1729116257
99,kulhudhuffushi,6.6221,73.07,28.02,77,85,6.87,MV,1729116705
100,flying fish cove,-10.4217,105.6791,24.82,78,20,3.6,CX,1729116706
101,alesund,62.4723,6.1549,15.08,47,0,1.54,NO,1729116708
102,paramirim,-13.4425,-42.2389,27.06,55,100,1.33,BR,1729116709
103,castanos,26.7833,-101.4167,27.41,43,40,7.72,MX,1729116710
104,lobujya,27.95,86.8167,-7.25,50,0,1.27,NP,1729116711
105,fort st. john,56.2499,-120.8529,9.51,59,99,4.22,CA,1729116713
106,okhotsk,59.3833,143.3,-4.92,52,9,10.81,RU,1729116714
107,bamboo flat,11.7,92.7167,26.63,83,100,2.03,IN,1729116715
108,luderitz,-26.6481,15.1594,13.22,91,2,2.9,,1729116716
109,el calafate,-50.3408,-72.2768,9.42,79,95,2.96,AR,1729116431
110,qaqortoq,60.7167,-46.0333,0.35,81,99,2.65,GL,1729116258
111,erdenet,49.0333,104.0833,-3.24,86,48,2.38,MN,1729116466
112,ilulissat,69.2167,-51.1,-6.99,58,29,0.0,GL,1729116721
113,xilin hot,43.9667,116.0333,3.23,91,100,1.02,CN,1729116723
114,sur,22.5667,59.5289,27.31,79,100,2.59,OM,1729116724
115,chaman,30.9236,66.4512,18.09,21,0,1.56,PK,1729116725
116,kibaya,-5.3,36.5667,17.43,72,16,2.67,TZ,1729116726
117,revelstoke,50.9832,-118.2023,11.01,93,100,4.12,CA,1729116728
118,at taj,24.2049,23.2857,22.77,36,0,4.46,LY,1729116729
119,bakchar,57.0186,82.0711,0.5,92,100,1.56,RU,1729116730
120,bredasdorp,-34.5322,20.0403,16.18,62,91,2.08,ZA,1729116731
121,ushuaia,-54.8,-68.3,12.81,41,20,4.63,AR,1729116256
122,portland,45.5234,-122.6762,17.87,75,75,4.12,US,1729116676
123,wegscheid,48.6014,13.7873,9.67,88,100,2.05,DE,1729116736
124,nola,40.922,14.5329,23.51,84,100,0.6,IT,1729116738
125,mahibadhoo,3.7833,72.9667,28.22,74,60,7.18,MV,1729116739
126,yaren,-0.5472,166.916,28.0,77,100,7.28,NR,1729116740
127,grand falls-windsor,48.9332,-55.6649,6.95,86,92,3.02,CA,1729116741
128,north ward,-19.2454,146.8075,24.95,78,75,4.63,AU,1729116743
129,horta,38.5333,-28.6333,18.34,77,100,1.79,PT,1729116744
130,murun-kuren,49.6342,100.1625,0.8,56,39,4.97,MN,1729116745
131,al mayadin,35.0209,40.4535,27.03,31,92,2.73,SY,1729116746
132,chonchi,-42.6128,-73.8092,11.73,97,100,1.85,CL,1729116748
133,shetpe,44.1667,52.1167,10.73,36,98,5.17,KZ,1729116749
134,bukama,-9.2,25.85,23.85,76,94,0.92,CD,1729116750
135,pagar alam,-4.0167,103.2667,19.02,86,100,1.44,ID,1729116751
136,aasiaat,68.7098,-52.8699,-9.61,83,13,4.59,GL,1729116277
137,loreto,22.2667,-101.9667,22.55,31,75,6.92,MX,1729116754
138,sinabang,2.4803,96.3801,26.2,84,100,1.3,ID,1729116755
139,mgandu,-5.95,34.1333,22.05,41,72,2.62,TZ,1729116756
140,vadso,70.0744,29.7487,0.09,93,75,3.6,NO,1729116757
141,leshan,29.5623,103.7639,17.51,90,96,0.33,CN,1729116759
142,port hueneme,34.1478,-119.1951,19.97,83,100,2.06,US,1729116760
143,erenhot,43.6475,111.9767,6.4,78,100,3.33,CN,1729116646
144,enewetak,11.3474,162.3373,29.05,78,100,8.33,MH,1729116762
145,san antonio de pale,-1.4014,5.6325,25.03,83,91,5.37,GQ,1729116764
146,brisas de zicatela,15.8369,-97.0419,31.29,74,20,4.12,MX,1729116765
147,hawaiian paradise park,19.5933,-154.9731,27.73,74,75,5.66,US,1729116766
148,meadow lakes,61.6247,-149.6011,6.46,55,72,0.45,US,1729116767
149,el jadid,33.2549,-8.506,21.22,86,28,3.52,MA,1729116768
150,ulaangom,49.9811,92.0667,2.33,70,100,0.25,MN,1729116770
151,kamiiso,41.8167,140.65,8.79,81,0,1.9,JP,1729116772
152,alaghsas,17.0187,8.0168,31.22,12,3,3.55,NE,1729116774
153,zaozersk,69.4005,32.4476,0.83,91,29,2.97,RU,1729116775
154,vrangel',42.7297,133.0839,9.67,63,38,2.45,RU,1729116776
155,mejit,10.2753,170.8646,28.55,76,100,4.65,MH,1729116777
156,tiksi,71.6872,128.8694,-14.05,91,99,2.08,RU,1729116779
